photo_id,sol,camera_id,camera_name,camera_full_name,img_src,earth_date,rover_id,rover_name,rover_landing_date,rover_launch_date,rover_status
1269620,1286,39,NAVCAM_RIGHT,Navigation Camera - Right,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01286/ids/edr/browse/ncam/NRF_1286_0781113177_035ECM_N0601874NCAM02286_01_195J01_1200.jpg,2024-10-01,8,Perseverance,2021-02-18,2020-07-30,active
1269625,1286,39,NAVCAM_RIGHT,Navigation Camera - Right,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01286/ids/edr/browse/ncam/NRF_1286_0781112748_113ECM_N0601874NCAM03286_10_195J01_1200.jpg,2024-10-01,8,Perseverance,2021-02-18,2020-07-30,active
1269631,1286,39,NAVCAM_RIGHT,Navigation Camera - Right,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01286/ids/edr/browse/ncam/NRF_1286_0781112449_112ECM_N0601874NCAM03286_10_195J01_1200.jpg,2024-10-01,8,Perseverance,2021-02-18,2020-07-30,active
1269632,1286,39,NAVCAM_RIGHT,Navigation Camera - Right,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01286/ids/edr/browse/ncam/NRF_1286_0781112748_113ECM_N0601874NCAM03286_01_195J01_1200.jpg,2024-10-01,8,Perseverance,2021-02-18,2020-07-30,active
1269633,1286,39,NAVCAM_RIGHT,Navigation Camera - Right,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01286/ids/edr/browse/ncam/NRF_1286_0781112748_113ECM_N0601874NCAM03286_04_195J01_1200.jpg,2024-10-01,8,Perseverance,2021-02-18,2020-07-30,active
1269634,1286,39,NAVCAM_RIGHT,Navigation Camera - Right,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01286/ids/edr/browse/ncam/NRF_1286_0781112748_113ECM_N0601874NCAM03286_07_195J01_1200.jpg,2024-10-01,8,Perseverance,2021-02-18,2020-07-30,active
1269641,1286,39,NAVCAM_RIGHT,Navigation Camera - Right,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01286/ids/edr/browse/ncam/NRF_1286_0781112449_112ECM_N0601874NCAM03286_01_195J01_1200.jpg,2024-10-01,8,Perseverance,2021-02-18,2020-07-30,active
1269642,1286,39,NAVCAM_RIGHT,Navigation Camera - Right,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01286/ids/edr/browse/ncam/NRF_1286_0781112449_112ECM_N0601874NCAM03286_04_195J01_1200.jpg,2024-10-01,8,Perseverance,2021-02-18,2020-07-30,active
1269643,1286,39,NAVCAM_RIGHT,Navigation Camera - Right,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01286/ids/edr/browse/ncam/NRF_1286_0781112449_112ECM_N0601874NCAM03286_07_195J01_1200.jpg,2024-10-01,8,Perseverance,2021-02-18,2020-07-30,active
1269644,1286,39,NAVCAM_RIGHT,Navigation Camera - Right,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01286/ids/edr/browse/ncam/NRF_1286_0781112596_191ECM_N0601874NCAM03286_01_195J01_1200.jpg,2024-10-01,8,Perseverance,2021-02-18,2020-07-30,active
